pattern,mu,x,y,r,n
regular,4,2,11,3,100
regular,4,3,11,8,100
regular,4,4,11,19,100
regular,4,5,11,27,100
regular,4,6,11,21,100
regular,4,7,11,41,100
regular,4,8,11,50,100
regular,4,9,11,53,100
regular,4,10,11,34,100
regular,4,11,11,15,100
regular,4,12,11,4,100
regular,4,1,12,2,100
regular,4,2,12,3,100
regular,4,3,12,5,100
regular,4,4,12,6,100
regular,4,5,12,5,100
regular,4,6,12,4,100
regular,4,7,12,9,100
regular,4,8,12,24,100
regular,4,9,12,32,100
regular,4,10,12,47,100
regular,4,11,12,17,100
regular,4,12,12,3,100
