x,y,t,r,n
14,17,2,0,1
14,18,1,0,1
14,18,2,0,1
14,19,1,0,1
14,19,2,0,1
14,20,1,0,1
14,20,2,0,1
14,21,1,0,1
14,21,2,0,1
15,1,1,0,1
15,1,2,0,1
15,2,1,1,1
15,2,2,1,1
15,3,1,1,1
15,3,2,1,1
15,4,1,1,1
15,4,2,1,1
15,5,1,1,1
15,5,2,1,1
15,6,1,0,1
15,6,2,1,1
15,7,1,0,1
15,7,2,0,1
15,8,1,0,1
15,8,2,0,1
15,9,1,0,1
15,9,2,0,1
15,10,1,0,1
15,10,2,0,1
15,11,1,0,1
15,11,2,0,1
15,12,1,0,1
15,12,2,0,1
15,13,1,0,1
15,13,2,0,1
15,14,1,0,1
15,14,2,0,1
15,15,1,0,1
15,15,2,0,1
15,16,1,0,1
15,16,2,0,1
15,17,1,0,1
15,17,2,0,1
15,18,1,0,1
15,18,2,0,1
15,19,1,0,1
15,19,2,1,1
15,20,1,0,1
15,20,2,0,1
15,21,1,0,1
15,21,2,0,1
16,1,1,0,1
16,1,2,0,1
16,2,1,0,1
16,2,2,1,1
16,3,1,0,1
16,3,2,1,1
16,4,1,1,1
16,4,2,1,1
16,5,1,1,1
16,5,2,1,1
16,6,1,0,1
16,6,2,0,1
16,7,1,0,1
16,7,2,0,1
16,8,1,0,1
16,8,2,0,1
16,9,1,0,1
16,9,2,0,1
16,10,1,0,1
16,10,2,0,1
16,11,1,0,1
16,11,2,0,1
16,12,1,0,1
16,12,2,0,1
16,13,1,0,1
16,13,2,0,1
16,14,1,0,1
16,14,2,0,1
16,15,1,0,1
16,15,2,0,1
16,16,1,0,1
16,16,2,0,1
16,17,1,0,1
16,17,2,0,1
16,18,1,0,1
16,18,2,0,1
16,19,1,0,1
16,19,2,0,1
16,20,1,0,1
16,20,2,0,1
16,21,1,0,1
16,21,2,0,1
17,1,1,1,1
17,1,2,1,1
17,2,1,0,1
17,2,2,0,1
17,3,1,1,1
17,3,2,1,1
17,4,1,1,1
17,4,2,1,1
17,5,1,0,1
17,5,2,0,1
17,6,1,0,1
17,6,2,1,1
17,7,1,0,1
17,7,2,0,1
17,8,1,0,1
17,8,2,0,1
17,9,1,0,1
17,9,2,0,1
17,10,1,0,1
17,10,2,0,1
17,11,1,0,1
17,11,2,0,1
17,12,1,0,1
17,12,2,0,1
17,13,1,0,1
17,13,2,0,1
17,14,1,0,1
17,14,2,0,1
17,15,1,0,1
17,15,2,0,1
17,16,1,0,1
17,16,2,0,1
17,17,1,0,1
17,17,2,0,1
17,18,1,0,1
17,18,2,0,1
17,19,1,0,1
17,19,2,0,1
17,20,1,0,1
17,20,2,0,1
17,21,1,0,1
17,21,2,0,1
18,1,1,0,1
18,1,2,0,1
18,2,1,1,1
18,2,2,1,1
18,3,1,1,1
18,3,2,1,1
18,4,1,0,1
18,4,2,1,1
18,5,1,1,1
18,5,2,1,1
18,6,1,1,1
18,6,2,1,1
18,7,1,0,1
18,7,2,0,1
18,8,1,0,1
18,8,2,0,1
18,9,1,0,1
18,9,2,0,1
18,10,1,0,1
18,10,2,0,1
18,11,1,0,1
18,11,2,0,1
18,12,1,0,1
18,12,2,0,1
18,13,1,0,1
18,13,2,0,1
18,14,1,0,1
18,14,2,0,1
18,15,1,0,1
18,15,2,0,1
18,16,1,0,1
18,16,2,0,1
18,17,1,0,1
18,17,2,0,1
18,18,1,0,1
18,18,2,0,1
18,19,1,0,1
18,19,2,0,1
18,20,1,0,1
18,20,2,0,1
18,21,1,0,1
18,21,2,0,1
19,1,1,0,1
19,1,2,0,1
19,2,1,0,1
19,2,2,0,1
19,3,1,1,1
19,3,2,1,1
19,4,1,1,1
19,4,2,1,1
19,5,1,0,1
19,5,2,0,1
19,6,1,1,1
19,6,2,1,1
19,7,1,0,1
19,7,2,0,1
19,8,1,0,1
19,8,2,1,1
19,9,1,0,1
19,9,2,0,1
19,10,1,0,1
19,10,2,0,1
19,11,1,0,1
19,11,2,0,1
19,12,1,0,1
19,12,2,0,1
19,13,1,0,1
19,13,2,0,1
19,14,1,0,1
19,14,2,0,1
19,15,1,0,1
19,15,2,0,1
19,16,1,0,1
19,16,2,0,1
19,17,1,0,1
19,17,2,0,1
19,18,1,0,1
19,18,2,0,1
19,19,1,0,1
19,19,2,0,1
19,20,1,0,1
19,20,2,0,1
19,21,1,0,1
19,21,2,0,1
20,1,1,0,1
20,1,2,0,1
20,2,1,0,1
20,2,2,1,1
20,3,1,1,1
20,3,2,1,1
20,4,1,0,1
20,4,2,0,1
20,5,1,1,1
20,5,2,1,1
20,6,1,1,1
20,6,2,1,1
20,7,1,0,1
20,7,2,1,1
20,8,1,0,1
20,8,2,0,1
20,9,1,0,1
20,9,2,0,1
20,10,1,0,1
20,10,2,0,1
20,11,1,0,1
20,11,2,0,1
20,12,1,0,1
20,12,2,0,1
20,13,1,0,1
20,13,2,0,1
20,14,1,0,1
20,14,2,0,1
20,15,1,0,1
20,15,2,0,1
20,16,1,0,1
20,16,2,0,1
20,17,1,0,1
20,17,2,0,1
20,18,1,0,1
20,18,2,0,1
20,19,1,0,1
20,19,2,0,1
20,20,1,0,1
20,20,2,0,1
20,21,1,0,1
20,21,2,0,1
21,1,1,1,1
21,1,2,1,1
21,2,1,0,1
21,2,2,0,1
21,3,1,1,1
21,3,2,1,1
21,4,1,1,1
21,4,2,1,1
21,5,1,0,1
21,5,2,0,1
21,6,1,1,1
21,6,2,1,1
21,7,1,1,1
